Chave,ID_Empresa,ID,Colaborador,Horas_Mes,Horas_Semana,Horas_Dia,Status,Admissao,Demissao,ID_Motivo_Demissao,Venc_Ferias,Nascimento,Sexo,ID_Est_Civil,Matricula,Deficiente,Aposentado,Endereco,Cidade,Estado,Pais,CEP,UF,Latitude,Longitude,Cor,ID_Depto,ID_Cargo,ID_Escolaridade,ID_CC,Salario
1114,1,114,Giovanna Rocha,150,30,5,I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2014-01-06 00:00:00.000,1987-01-18 00:00:00.000,F,C,114,0,0,1ª Travessa Belamim 1542,Salvador,Bahia,BR,41211-021,BA,"-12,79117","-38,488639",2,12,13,7,2,658.00
1115,1,115,Ágatha Azevedo,150,30,5,I,2009-10-03 00:00:00.000,2012-03-02 00:00:00.000,4,2012-03-02 00:00:00.000,1991-11-01 00:00:00.000,F,S,115,0,0,Rua Tatuapé 1348,Caraguatatuba,São Paulo,BR,11667-140,SP,"-23,676089","-45,5248",2,12,13,7,2,658.00
1116,1,116,Aline Gomes,150,30,5,I,2009-10-03 00:00:00.000,2011-12-08 00:00:00.000,4,2011-12-08 00:00:00.000,1993-04-13 00:00:00.000,F,S,116,0,0,Rua Cândido Portinari 229,Natal,Rio Grande do Norte,BR,59122-455,RN,"-5,851518","-35,28336",2,12,13,7,2,564.00
1117,1,117,Danilo Silva,100,20,"3,33",I,2009-10-03 00:00:00.000,2012-03-02 00:00:00.000,2,2012-03-02 00:00:00.000,1968-04-05 00:00:00.000,M,C,117,0,0,Rua 14e 1673,Aparecida de Goiânia,Goiás,BR,74932-330,GO,"-16,92721","-49,297236",2,12,133,3,2,396.00
1118,1,118,Felipe Almeida,100,20,"3,33",I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2013-01-06 00:00:00.000,1955-01-21 00:00:00.000,M,C,118,0,0,Avenida Grapiúna 1539,Itabuna,Bahia,BR,45600-765,BA,"-14,868124","-39,414517",2,12,133,3,2,406.00
1119,1,119,Sophia Barbosa,150,30,5,I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2013-01-06 00:00:00.000,1991-08-23 00:00:00.000,F,O,119,0,0,Rua Felício Luizari 966,Presidente Prudente,São Paulo,BR,19060-230,SP,"-21,878006","-51,233643",2,12,13,6,2,658.00
112,1,12,Felipe Gomes,150,30,5,I,2009-06-24 00:00:00.000,2013-08-30 00:00:00.000,2,2014-08-30 00:00:00.000,1989-03-18 00:00:00.000,M,S,12,0,0,Rua Espírito Santo 51,Capão Bonito,São Paulo,BR,18301-060,SP,"-24,116659","-48,31448",2,5,222,7,2,782.00
1120,1,120,Carlos Costa,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-01-10 00:00:00.000,4,2010-01-10 00:00:00.000,1976-12-26 00:00:00.000,M,D,120,0,0,Rua das Pedras 1877,Camaragibe,Pernambuco,BR,54768-320,PE,"-7,887897","-34,941071",2,12,167,7,2,498.00
1121,1,121,Camila Martins,150,30,5,I,2009-10-03 00:00:00.000,2010-03-21 00:00:00.000,2,2010-03-21 00:00:00.000,1991-07-13 00:00:00.000,F,C,121,0,0,3ª Travessa Diamante 1779,Olinda,Pernambuco,BR,53010-401,PE,"-7,957982","-34,934788",2,12,13,6,2,491.67
1122,1,122,Victor Cunha,180,36,6,I,2009-10-03 00:00:00.000,2009-10-18 00:00:00.000,11,2009-10-18 00:00:00.000,1976-12-13 00:00:00.000,M,C,122,0,0,Rua Cícero Alves 1652,Paragominas,Pará,BR,68628-547,PA,"-3,139821","-47,634261",2,12,222,7,2,760.00
1123,1,123,Evelyn Souza,200,40,"6,66",I,2009-10-08 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1990-06-14 00:00:00.000,F,S,123,0,0,Rua Joaquim Duarte Barbosa 293,Campinas,São Paulo,BR,13045-529,SP,"-22,854832","-47,005974",2,9,167,7,2,498.00
1124,1,124,Nicole Pereira,50,10,"1,66",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1964-04-08 00:00:00.000,F,C,124,0,0,Rua João Anzaloni Filho 828,Mococa,São Paulo,BR,13735-200,SP,"-21,433723","-46,931439",2,9,167,7,2,125.00
1125,1,125,Vitória Cavalcanti,200,40,"6,66",I,2009-09-03 00:00:00.000,2009-11-01 00:00:00.000,12,2009-11-01 00:00:00.000,1956-08-22 00:00:00.000,F,C,125,0,0,Rua H 1483,São Luís,Maranhão,BR,65061-410,MA,"-2,695452","-44,313947",2,9,167,2,2,458.00
1126,1,126,Vitória Pinto,50,10,"1,66",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1970-06-08 00:00:00.000,F,S,126,0,0,Travessa Alberto Ristori 1133,São Paulo,São Paulo,BR,04410-020,SP,"-23,681146","-46,705072",2,11,167,4,2,125.00
1127,1,127,Beatriz Rocha,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1964-04-04 00:00:00.000,F,S,127,0,0,Rua Alvarenga 910,Cariacica,Espírito Santo,BR,29154-634,ES,"-20,359662","-40,443116",2,9,167,5,2,22.00
1128,1,128,Laura Souza,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1991-11-29 00:00:00.000,F,S,128,0,0,Rua Alfeu Alves Pereira 1911,Vitória,Espírito Santo,BR,29050-190,ES,"-20,252709","-40,204853",2,9,167,7,2,22.00
1129,1,129,Livia Souza,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1977-12-29 00:00:00.000,F,S,129,0,0,Rua A-156 190,Rondonópolis,Mato Grosso,BR,78735-495,MT,"-16,467653","-54,661863",2,9,167,2,2,22.00
113,1,13,Victor Dias,200,40,"6,66",I,2009-06-24 00:00:00.000,2010-08-22 00:00:00.000,4,2011-08-22 00:00:00.000,1990-07-17 00:00:00.000,M,S,13,0,0,Rua João Lopes Hidalgo 529,Birigüi,São Paulo,BR,16200-061,SP,"-21,30548","-50,400859",2,5,167,6,2,498.00
1130,1,130,Giovanna Rocha,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1974-11-24 00:00:00.000,F,S,130,0,0,Rua Cinco 957,Divinópolis,Minas Gerais,BR,35500-379,MG,"-20,200635","-44,967418",2,9,167,4,2,22.00
1131,1,131,Evelyn Pereira,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2009-10-03 00:00:00.000,11,2009-10-03 00:00:00.000,1981-02-11 00:00:00.000,F,S,131,0,0,Rua Rogério Albertino Barreto 790,São Gonçalo,Rio de Janeiro,BR,24750-230,RJ,"-22,875827","-42,982875",2,9,167,4,2,20.00
1132,1,132,Anna Costa,150,30,5,I,2009-10-03 00:00:00.000,2012-10-21 00:00:00.000,4,2012-10-21 00:00:00.000,1991-07-24 00:00:00.000,F,S,132,0,0,Rua Salgueiro 719,Rio Branco,Acre,BR,69901-550,AC,"-10,103095","-68,222393",2,12,13,7,2,658.00
1133,1,133,Júlia Martins,200,40,"6,66",I,2009-09-03 00:00:00.000,2009-10-20 00:00:00.000,8,2009-10-20 00:00:00.000,1966-08-25 00:00:00.000,F,S,133,0,0,Rua Engels 1059,Diadema,São Paulo,BR,09992-090,SP,"-23,677751","-46,515821",2,9,167,7,2,458.00
1134,1,134,Emilly Alves,20,4,"0,66",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1963-11-14 00:00:00.000,F,C,134,0,0,Rua Dona Maria Cardoso 1752,Aparecida de Goiânia,Goiás,BR,74915-520,GO,"-16,751483","-49,287726",2,9,167,2,2,55.00
1135,1,135,Livia Costa,50,10,"1,66",I,2009-09-23 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1978-01-03 00:00:00.000,F,S,135,0,0,Avenida José Roberto Bueno de Mattos 1986,Taubaté,São Paulo,BR,12050-020,SP,"-23,035498","-45,468656",2,9,167,6,2,125.00
1136,1,136,Livia Almeida,60,12,2,I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1961-11-03 00:00:00.000,F,C,136,0,0,Rua Jairo Dias Junior 412,São Paulo,São Paulo,BR,04604-010,SP,"-23,638458","-46,664441",2,9,167,2,2,147.27
1137,1,137,Matilde Santos,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1967-03-16 00:00:00.000,F,C,137,0,0,Rua Frederico Antônio dos Santos 1703,Sorocaba,São Paulo,BR,18103-581,SP,"-23,426204","-47,5209",2,9,167,4,2,22.00
1138,1,138,Bianca Santos,60,12,2,I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1978-07-10 00:00:00.000,F,S,138,0,0,Quadra Sessenta e Quatro 1175,Ananindeua,Pará,BR,67145-725,PA,"-1,373309","-48,38333",2,9,167,2,2,147.27
1139,1,139,Camila Gomes,50,10,"1,66",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1954-01-13 00:00:00.000,F,S,139,0,0,Avenida Canal 157,Vila Velha,Espírito Santo,BR,29104-210,ES,"-20,467209","-40,369103",2,9,167,1,2,125.00
114,1,14,Kauan Souza,110,22,"3,66",A,2009-07-30 00:00:00.000,NULL,0,2022-07-29 00:00:00.000,1945-06-22 00:00:00.000,M,S,14,0,0,Quadra QN 315 999,Samambaia,Distrito Federal,BR,72307-400,DF,"-23,182069","-47,40158",2,1,154,9,10008,1448.00
1140,1,140,Sarah Rocha,220,44,"7,33",I,2009-09-24 00:00:00.000,2009-10-11 00:00:00.000,11,2009-10-11 00:00:00.000,1960-02-16 00:00:00.000,F,C,140,0,0,Rua Baceúnas 459,São Paulo,São Paulo,BR,03127-060,SP,"-23,721627","-46,607435",2,9,167,2,2,497.00
1141,1,141,Beatrice Gomes,220,44,"7,33",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1980-02-10 00:00:00.000,F,S,141,0,0,Rua Ituokoba 249,Jaboticabal,São Paulo,BR,14890-045,SP,"-21,198254","-48,321796",2,9,167,2,2,540.00
1142,1,142,Gabriela Rodrigues,8,"1,6","0,26",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1986-06-04 00:00:00.000,F,C,142,0,0,Avenida Rodésia 1770,Ituiutaba,Minas Gerais,BR,38304-190,MG,"-18,996761","-49,635269",2,9,167,7,2,22.00
1143,1,143,Giovana Carvalho,20,4,"0,66",I,2009-09-03 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1964-10-11 00:00:00.000,F,C,143,0,0,Rua Vinte e Seis 29,Governador Valadares,Minas Gerais,BR,35042-720,MG,"-18,831214","-42,055861",2,9,167,4,2,55.00
1144,1,144,Luiz Rodrigues,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-09-25 00:00:00.000,1980-10-26 00:00:00.000,M,C,144,0,0,Rua José Salvato 1020,Taubaté,São Paulo,BR,12090-620,SP,"-23,137631","-45,553639",2,13,998,7,2,498.00
1145,1,145,Otávio Oliveira,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-09-25 00:00:00.000,1970-12-20 00:00:00.000,M,C,145,0,0,Avenida Doutor Hugo Beolchi 1909,São Paulo,São Paulo,BR,04310-030,SP,"-23,57998","-46,733483",2,13,998,2,2,498.00
1146,1,146,Enzo Lima,200,40,"6,66",I,2009-10-03 00:00:00.000,2009-10-24 00:00:00.000,10,2009-10-24 00:00:00.000,1968-08-06 00:00:00.000,M,C,146,0,0,Rua Safira 1688,Campo Limpo Paulista,São Paulo,BR,13233-480,SP,"-23,232109","-46,828659",2,13,998,7,2,458.00
1147,1,147,Danilo Azevedo,220,44,"7,33",I,2009-10-03 00:00:00.000,2013-01-09 00:00:00.000,2,2013-01-09 00:00:00.000,1979-07-02 00:00:00.000,M,C,147,0,0,Rua Trinta e Seis 136,Cuiabá,Mato Grosso,BR,78090-328,MT,"-15,349927","-55,972793",2,12,222,4,2,1006.00
1148,1,148,Gabriel Dias,200,40,"6,66",I,2009-10-03 00:00:00.000,2011-09-18 00:00:00.000,4,2011-09-18 00:00:00.000,1984-01-12 00:00:00.000,M,S,148,0,0,Rua Oscar Freire 510,São Paulo,São Paulo,BR,05409-011,SP,"-23,556452","-46,558824",2,12,167,4,2,573.00
1149,1,149,Nicole Azevedo,150,30,5,I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2013-01-06 00:00:00.000,1979-05-11 00:00:00.000,F,C,149,0,0,Avenida Romão Fidalgo Salgado Neto 216,Guarujá,São Paulo,BR,11445-450,SP,"-23,909622","-46,250838",2,12,13,7,2,658.00
115,1,15,Kauan Souza,150,30,5,I,2009-08-05 00:00:00.000,2013-08-30 00:00:00.000,2,2014-08-30 00:00:00.000,1947-10-03 00:00:00.000,M,C,15,0,0,Rua Desembargador Veloso 1349,Belo Horizonte,Minas Gerais,BR,30270-430,MG,"-19,974452","-44,036761",2,4,222,6,2,782.00
1150,1,150,Rebeca Souza,150,30,5,I,2009-10-03 00:00:00.000,2010-04-02 00:00:00.000,2,2010-04-02 00:00:00.000,1973-05-11 00:00:00.000,F,C,150,0,0,Quadra QNL 02 Bloco G 564,Taguatinga,Distrito Federal,BR,72155-217,DF,"-12,450089","-46,421318",2,12,13,6,2,491.67
1151,1,151,Vitor Carvalho,220,44,"7,33",I,2009-10-03 00:00:00.000,2011-10-15 00:00:00.000,4,2011-10-02 00:00:00.000,1976-12-20 00:00:00.000,M,S,151,0,0,Rua Alcides Stringuetta 1018,Botucatu,São Paulo,BR,18601-748,SP,"-22,905182","-48,486147",9,12,222,7,2,890.00
1152,1,152,Rodrigo Silva,220,44,"7,33",I,2009-10-03 00:00:00.000,2013-01-09 00:00:00.000,2,2013-01-09 00:00:00.000,1975-12-16 00:00:00.000,M,D,152,0,0,Travessa Antônio Cirino 793,Palmeira dos Índios,Alagoas,BR,57608-420,AL,"-9,365525","-36,576971",2,12,222,7,2,1006.00
1153,1,153,Thiago Barbosa,200,40,"6,66",I,2009-10-03 00:00:00.000,2014-02-09 00:00:00.000,2,2014-02-09 00:00:00.000,1955-01-20 00:00:00.000,M,C,153,0,0,Servidão Augusto Isidoro Garces 1239,Florianópolis,Santa Catarina,BR,88048-446,SC,"-27,639085","-48,512876",2,12,167,5,6,740.00
1154,1,154,Luis Fernandes,200,40,"6,66",I,2009-10-03 00:00:00.000,2009-12-01 00:00:00.000,12,2009-12-01 00:00:00.000,1982-06-26 00:00:00.000,M,S,154,0,0,Rua Doutor José Mizrah 1014,Queimados,Rio de Janeiro,BR,26369-000,RJ,"-22,801636","-43,503789",2,12,167,7,2,458.00
1155,1,155,Kaua Martins,220,44,"7,33",I,2009-10-03 00:00:00.000,2013-01-09 00:00:00.000,2,2013-01-09 00:00:00.000,1971-07-26 00:00:00.000,M,C,155,0,0,Praça Batista Botelho 69,São Paulo,São Paulo,BR,04805-330,SP,"-23,72526","-46,595492",2,12,222,4,2,1006.00
1156,1,156,Ryan Lima,220,44,"7,33",I,2009-10-03 00:00:00.000,2011-03-14 00:00:00.000,4,2012-10-02 00:00:00.000,1972-07-05 00:00:00.000,M,S,156,0,0,Rua Jailson Alexandrino 1476,Salvador,Bahia,BR,41350-400,BA,"-12,831607","-38,443606",2,12,133,4,2,759.00
1157,1,157,Murilo Silva,220,44,"7,33",I,2009-10-03 00:00:00.000,2010-07-25 00:00:00.000,4,2011-10-02 00:00:00.000,1990-09-05 00:00:00.000,M,S,157,0,0,Rua José Aurelío Jacinto 272,Barbacena,Minas Gerais,BR,36202-845,MG,"-21,231172","-43,833267",2,12,222,4,2,826.00
1158,1,158,Davi Ferreira,220,44,"7,33",I,2009-10-03 00:00:00.000,2011-03-12 00:00:00.000,4,2012-10-02 00:00:00.000,1982-04-03 00:00:00.000,M,S,158,0,0,Rua Maria José da Costa 1223,São Paulo,São Paulo,BR,03081-002,SP,"-23,548378","-46,629193",2,12,222,8,2,890.00
1159,1,159,Luis Fernandes,220,44,"7,33",I,2009-10-03 00:00:00.000,2013-01-09 00:00:00.000,2,2013-01-09 00:00:00.000,1975-01-17 00:00:00.000,M,C,159,0,0,Rua da Inconfidência 1332,São Roque,São Paulo,BR,18130-205,SP,"-23,594656","-47,170336",2,12,222,6,2,1006.00
116,1,16,Vitoria Barbosa,200,40,"6,66",I,2009-09-03 00:00:00.000,2012-06-07 00:00:00.000,2,2013-06-07 00:00:00.000,1979-10-28 00:00:00.000,F,S,16,0,0,Rua Doutor Tancredo Neves 1346,Salvador,Bahia,BR,41500-155,BA,"-12,948053","-38,51941",2,6,167,7,2,659.00
1160,1,160,Manuela Dias,200,40,"6,66",I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2013-01-06 00:00:00.000,1988-10-15 00:00:00.000,F,S,160,0,0,Rua Nelson Matos 872,Natal,Rio Grande do Norte,BR,59075-380,RN,"-5,880683","-35,317703",2,12,96,7,2,758.00
1161,1,161,Marina Santos,150,30,5,I,2009-10-03 00:00:00.000,2011-03-12 00:00:00.000,2,2012-10-02 00:00:00.000,1989-02-18 00:00:00.000,F,S,161,0,0,Vila Eliane 472,Fortaleza,Ceará,BR,60131-030,CE,"-3,710436","-38,437376",2,12,13,7,2,564.00
1162,1,162,Isabelle Pereira,150,30,5,I,2009-10-03 00:00:00.000,2013-01-06 00:00:00.000,2,2013-01-06 00:00:00.000,1979-02-25 00:00:00.000,F,S,162,0,0,Rua Frei Timóteo 55,Telêmaco Borba,Paraná,BR,84272-470,PR,"-24,199216","-50,588157",2,12,13,8,2,658.00
1163,1,163,Eduardo Silva,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-09-25 00:00:00.000,1954-08-18 00:00:00.000,M,C,163,0,0,Alameda Monte Belo 309,Niterói,Rio de Janeiro,BR,24315-190,RJ,"-23,000598","-43,117505",2,13,705,2,2,640.00
1164,1,164,Raissa Ferreira,200,40,"6,66",I,2009-09-03 00:00:00.000,2012-06-20 00:00:00.000,4,2013-09-02 00:00:00.000,1980-01-30 00:00:00.000,F,O,164,0,0,Rua Orlando de Biassio 459,Castro,Paraná,BR,84178-280,PR,"-24,842504","-49,838927",2,6,405,7,2,714.00
1165,1,165,Melissa Barbosa,200,40,"6,66",I,2009-09-03 00:00:00.000,2013-12-29 00:00:00.000,2,2013-12-29 00:00:00.000,1968-12-16 00:00:00.000,F,S,165,0,0,Rua Ângela Signori Grigol 1914,Campinas,São Paulo,BR,13084-405,SP,"-22,899709","-47,101405",2,6,167,7,2,740.00
1166,1,166,Pedro Souza,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-04-07 00:00:00.000,2,2010-04-07 00:00:00.000,1973-06-06 00:00:00.000,M,C,166,0,0,Rua Mandarin 42,Londrina,Paraná,BR,86084-660,PR,"-23,582367","-51,030937",2,13,998,2,2,498.00
1167,1,167,Vitór Dias,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-09-25 00:00:00.000,2,2011-10-02 00:00:00.000,1957-09-23 00:00:00.000,M,C,167,0,0,Rua Francisco Barreto Leme 1209,Taubaté,São Paulo,BR,12062-000,SP,"-23,166615","-45,48085",2,13,998,7,2,498.00
1168,1,168,Igor Cunha,200,40,"6,66",I,2009-10-28 00:00:00.000,2010-09-25 00:00:00.000,2,2011-10-27 00:00:00.000,1964-03-13 00:00:00.000,M,C,168,0,0,Rua Alcebíades Bortolini 1762,Pirassununga,São Paulo,BR,13635-082,SP,"-22,036878","-47,3094",2,13,998,7,2,498.00
1169,1,169,Lavinia Barros,220,44,"7,33",I,2009-10-15 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1977-02-08 00:00:00.000,F,C,169,0,0,Rua Vinte e Um de Abril 1232,Pato Branco,Paraná,BR,85508-040,PR,"-26,190979","-52,686164",2,9,167,7,2,540.00
1170,1,170,Vitória Alves,200,40,"6,66",I,2009-10-18 00:00:00.000,2010-03-07 00:00:00.000,2,2010-03-07 00:00:00.000,1964-07-11 00:00:00.000,F,C,170,0,0,Rua do Fado 1274,Valinhos,São Paulo,BR,13273-269,SP,"-23,009846","-47,010777",2,9,167,4,2,498.00
1171,1,171,Rafael Santos,220,44,"7,33",I,2009-10-22 00:00:00.000,2013-01-09 00:00:00.000,2,2013-01-09 00:00:00.000,1989-03-01 00:00:00.000,M,C,171,0,0,Rua Josefina Dorotheia Nunes 409,Caratinga,Minas Gerais,BR,35302-009,MG,"-19,671727","-42,219675",2,12,222,7,2,1006.00
1172,1,172,Kauan Costa,200,40,"6,66",I,2009-10-03 00:00:00.000,2010-07-30 00:00:00.000,2,2010-07-30 00:00:00.000,1986-12-02 00:00:00.000,M,S,172,0,0,Rua Poeta Vitorino Vicente 1964,Juazeiro do Norte,Ceará,BR,63041-550,CE,"-7,096517","-39,251907",2,1,442,7,1,751.00
1173,1,173,Emily Barbosa,200,40,"6,66",I,2009-10-03 00:00:00.000,2009-12-01 00:00:00.000,12,2009-12-01 00:00:00.000,1990-09-28 00:00:00.000,F,S,173,0,0,Rua Suíça 726,Várzea Paulista,São Paulo,BR,13223-240,SP,"-23,146066","-46,781454",2,1,439,8,2,550.00
1174,1,174,Alice Araujo,200,40,"6,66",I,2009-09-03 00:00:00.000,2010-02-03 00:00:00.000,4,2010-02-03 00:00:00.000,1986-06-25 00:00:00.000,F,O,174,0,0,Rua B 239,Santo Antônio de Jesus,Bahia,BR,44573-650,BA,"-12,95751","-39,141298",2,6,167,7,2,498.00
1175,1,175,Luiz Rodrigues,200,40,"6,66",I,2009-10-03 00:00:00.000,2016-08-04 00:00:00.000,2,2016-08-04 00:00:00.000,1977-04-04 00:00:00.000,M,S,175,0,0,Rua do Jambo 1476,Uberlândia,Minas Gerais,BR,38415-504,MG,"-18,99914","-48,379027",2,1,222223,7,7005,1261.00
